Kod;Nazwa;Cena;C. zakupu-PLN;Stan zasobów;Ilość;Jm;Typ;Ilość dostępna;Ilość minimalna;Rezerwacje;Braki;Zamówienia;Wartość-PLN
KTM 160N/L195-WO;Klapa KTM-160N L-195-WO;220,28;191,55;Stan towaru powyżej ilości minimalnej;1,00;SZT;TP;1,00;0,00;0,00;0,00;0,00;220,28
KTM-O-E-160-N L307-H BFL24-T;Klapa ppoż. KTM-O-E-160-N L307-H BFL24-T;652,42;567,32;Stan towaru powyżej ilości minimalnej;2,00;SZT;TP;2,00;0,00;0,00;0,00;0,00;1 304,84
KTM-O-E-200-N L307-H BFL24-T;Klapa p.poż.KTM-O-E-200-N L307-H BFL24-T;666,10;579,22;Stan towaru powyżej ilości minimalnej;1,00;SZT;TP;1,00;0,00;0,00;0,00;0,00;666,10
KTS-O-S-250/WO;Klapa ppoż.  KTS-O-S-250-WO;287,28;245,54;Stan towaru powyżej ilości minimalnej;1,00;SZT;TP;1,00;0,00;0,00;0,00;0,00;287,28
KZO-100;Klapa zwrotna KZO-100;7,80;6,43;Stan towaru powyżej ilości minimalnej;19,00;SZT;TP;19,00;0,50;0,00;0,00;20,00;148,20
KZO-125;Klapa zwrotna KZO-125;9,01;7,51;Stan towaru powyżej ilości minimalnej;36,00;SZT;TP;36,00;0,00;0,00;0,00;1,00;324,36
KZO-160;Klapa zwrotna KZO-160;11,88;9,65;Stan towaru powyżej ilości minimalnej;22,00;SZT;TP;22,00;2,00;0,00;0,00;0,00;261,36
KZO-200;Klapa zwrotna KZO-200;15,17;12,64;Stan towaru powyżej ilości minimalnej;12,00;SZT;TP;12,00;0,50;0,00;0,00;21,00;182,04
KZO-250;Klapa zwrotna KZO-250;23,94;18,90;Stan towaru powyżej ilości minimalnej;11,00;SZT;TP;11,00;5,00;0,00;0,00;21,00;263,34
KZO-315;Klapa zwrotna KZO-315;30,40;25,33;Stan towaru powyżej ilości minimalnej;6,00;SZT;TP;6,00;0,00;0,00;0,00;0,00;182,40
KZO-400;Klapa zwrotna KZO-400;83,82;69,85;Stan towaru powyżej ilości minimalnej;2,00;SZT;TP;2,00;0,00;0,00;0,00;0,00;167,64
LDB- BE41X2X1;Złącze typ L LDB-BE 41x2x1;5,40;4,25;Stan towaru powyżej ilości minimalnej;36,00;SZT;TP;36,00;22,50;0,00;0,00;41,00;194,40
LDB-BE 30X2X1 45ST;Złącze typ L LDB-BE 30x2x1 45st;2,38;0,01;Stan towaru powyżej ilości minimalnej;22,00;SZT;TP;22,00;0,00;0,00;0,00;500,00;52,36
LDB-BE 30X2X2;Złącze typ L LDB-BE 30x2x2;4,06;3,38;Stan towaru powyżej ilości minimalnej;171,00;SZT;TP;171,00;96,00;0,00;0,00;200,00;694,26
LDB-BE 30X2X2 FI10;Złącze typ L LDB-BE 30x2x2 fi10;4,09;3,41;Stan towaru poniżej ilości minimalnej;1,00;SZT;TP;1,00;96,00;0,00;0,00;0,00;4,09
LDB-BE 41X2X2;Złącze typ L LDB-BE 41x2x2;8,99;7,49;Stan towaru powyżej ilości minimalnej;202,00;SZT;TP;202,00;171,50;0,00;0,00;220,00;1 815,98
LDB-BE 41X2X2 45ST;Złącze typ L LDB-BE 41x2x2 45st;7,44;6,81;Stan towaru powyżej ilości minimalnej;83,00;SZT;TP;83,00;0,00;0,00;0,00;0,00;617,52
ŁĄCZNIK BUP NZM/41X21 WALRAVEN;Łącznik siodłowy BUP nzm/41x21 Walraven;5,50;4,72;Stan towaru poniżej ilości minimalnej;12,00;SZT;TP;12,00;38,50;0,00;0,00;2,00;66,00
ŁĄCZNIK SZYN 41 INTERFIX;Łącznik szyn 41 Interfix;18,30;15,25;Stan towaru powyżej ilości minimalnej;45,00;SZT;TP;45,00;0,00;0,00;0,00;0,00;823,50
ŁĄCZNIK SZYN C INTERFIX;Łącznik szyn C Interfix;14,66;10,93;Stan towaru powyżej ilości minimalnej;73,00;SZT;TP;73,00;0,00;0,00;0,00;0,00;1 070,18
MASA USZCZ. SEAL 511;Masa uszczelniająca SEAL 511, 310ml;17,56;14,63;Stan towaru powyżej ilości minimalnej;1,00;SZT;TP;1,00;0,00;0,00;0,00;5,00;17,56
MASKA OCHRONNA WURTH;Maska ochronna Wurth;11,80;9,80;Stan towaru powyżej ilości minimalnej;11,00;SZT;TP;11,00;1,50;0,00;0,00;0,00;129,80
MASKOWNICA ŚCIENNA PVC;Maskownica ścienna do koryta PVC ODWC 80;12,02;10,00;Stan towaru powyżej ilości minimalnej;4,00;SZT;TP;4,00;1,50;0,00;0,00;0,00;48,08
MATA ANTYWIBRACYJNA 1000X1000X10MM;Mata antywibracyjna 1000x1000x10mm;91,80;76,50;Stan towaru powyżej ilości minimalnej;14,00;SZT;TP;14,00;1,50;0,00;0,00;0,00;1 285,20
MAXI ORANGE;Pompka skroplin MAXI ORANGE;436,70;397,00;Stan towaru powyżej ilości minimalnej;1,00;SZT;TP;1,00;0,00;0,00;0,00;0,00;436,70
MF 100-Z (P);Mufa fi 100 mm (P);3,00;0,02;Stan towaru poniżej ilości minimalnej;6,00;SZT;TZ;6,00;14,50;0,00;0,00;0,00;18,00
MF 125-Z (P);Mufa fi 125 mm (P);3,60;0,03;Stan towaru poniżej ilości minimalnej;1,00;SZT;TZ;1,00;14,50;0,00;0,00;0,00;3,60
MF 160-Z (P);Mufa fi 160 mm (P);3,80;0,03;Stan towaru poniżej ilości minimalnej;2,00;SZT;TZ;2,00;14,50;0,00;0,00;0,00;7,60
MF 200-Z (P);Mufa fi 200 mm (P);5,05;0,03;Stan towaru poniżej ilości minimalnej;2,00;SZT;TZ;2,00;14,50;0,00;0,00;0,00;10,10
MF 250-Z (P);Mufa fi 250 mm (P);5,14;0,05;Stan towaru poniżej ilości minimalnej;9,00;SZT;TZ;9,00;12,50;0,00;0,00;0,00;46,26
MF 560-Z;Mufa fi 560;25,00;14,80;Stan towaru powyżej ilości minimalnej;2,00;SZT;TZ;2,00;0,00;0,00;0,00;0,00;50,00
MF 80-Z;Mufa fi 80;5,46;4,20;Stan towaru powyżej ilości minimalnej;10,00;SZT;TP;10,00;0,00;0,00;0,00;0,00;54,60
MIARA 5M BESSTO;BESSTO Miara stalowa 5mx19mm, Self lock, (metrówka);10,85;9,04;Stan towaru powyżej ilości minimalnej;6,00;SZT;TP;6,00;0,00;0,00;0,00;0,00;65,10
MIARA RECA 5M;Miara zwijana Reca 5m (metrówka);34,04;29,60;Stan towaru powyżej ilości minimalnej;5,00;SZT;TP;5,00;0,00;0,00;0,00;0,00;170,20
MIARA SKŁADANA 2M WURTH;Miara składana 2m Wurth;29,97;26,06;Stan towaru poniżej ilości minimalnej;1,00;SZT;TP;1,00;1,50;0,00;0,00;0,00;29,97
MIARA ZWIJANA 5M 19MM WURTH;Miara zwijana 5m 19mm Wurth;26,91;23,40;Stan towaru powyżej ilości minimalnej;8,00;SZT;TP;8,00;1,00;0,00;0,00;0,00;215,28
MIEDŹ CHŁODNICZA W OTULINIE 5/8 X 1,00 MM ENT;MIEDŹ CHŁODNICZA W OTULINIE 5/8 X 1,00 MM ENT;675,40;614,00;Stan towaru powyżej ilości minimalnej;1,00;SZT;TP;1,00;0,00;0,00;0,00;0,00;675,40
"MIEDŹ W OTULINIE TUBOLIT 1/2"" 25MB";"Miedź chłodnicza w otulinie ARMACELL 1/2"" (25mb)";603,90;549,00;Stan towaru powyżej ilości minimalnej;11,00;SZT;TP;11,00;0,00;0,00;0,00;0,00;6 642,90
"MIEDŹ W OTULINIE TUBOLIT 1/2"" 50MB";"Miedź chłodnicza w otulinie ARMACELL 1/2"" (50mb)";1 129,15;1 026,50;Stan towaru powyżej ilości minimalnej;2,00;SZT;TP;2,00;0,00;0,00;0,00;0,00;2 258,30
"MIEDŹ W OTULINIE TUBOLIT 1/4"" 25MB";"Miedź chłodnicza w otulinie ARMACELL 1/4""  (25mb)";297,00;270,00;Stan towaru powyżej ilości minimalnej;20,00;SZT;TP;20,00;0,00;0,00;0,00;30,00;5 940,00
"MIEDŹ W OTULINIE TUBOLIT 1/4"" 50MB";"Miedź chłodnicza w otulinie ARMACELL 1/4"" (50mb)";594,00;540,00;Stan towaru powyżej ilości minimalnej;10,00;SZT;TP;10,00;0,00;0,00;0,00;10,00;5 940,00
"MIEDŹ W OTULINIE TUBOLIT 3/4"" 25MB";"Miedź chłodnicza w otulinie ARMACELL 3/4"" (25mb)";887,23;771,50;Stan towaru powyżej ilości minimalnej;2,00;SZT;TP;2,00;0,00;0,00;0,00;0,00;1 774,46
"MIEDŹ W OTULINIE TUBOLIT 3/8"" 25MB";"Miedź chłodnicza w otulinie ARMACELL 3/8"" (25mb)";442,20;402,00;Stan towaru powyżej ilości minimalnej;27,00;SZT;TP;27,00;5,00;0,00;0,00;30,00;11 939,40
"MIEDŹ W OTULINIE TUBOLIT 3/8"" 50MB";"Miedź chłodnicza w otulinie ARMACELL 3/8"" (50mb)";884,40;804,00;Stan towaru powyżej ilości minimalnej;10,00;SZT;TP;10,00;0,00;0,00;0,00;0,00;8 844,00
"MIEDŹ W OTULINIE TUBOLIT 7/8"" 25MB";"Miedź chłodnicza w otulinie ARMACELL 7/8"" (25mb)";1 106,01;961,75;Stan towaru powyżej ilości minimalnej;3,00;SZT;TP;3,00;0,00;0,00;0,00;0,00;3 318,03
MINI DROP;Pompka skroplin Mini DROP;274,72;238,89;Stan towaru powyżej ilości minimalnej;3,00;SZT;TP;3,00;0,00;0,00;0,00;0,00;824,16
MINI ORANGE;Pompka skroplin MINI ORANGE ASPEN;340,00;285,00;Stan towaru powyżej ilości minimalnej;1,00;SZT;TP;1,00;1,00;0,00;0,00;0,00;340,00
MOCOWANIE MSV 600/600;Mocowanie skraplacza spawane MSV 600/600 (kpl 2szt);56,33;93,40;Stan towaru powyżej ilości minimalnej;6,00;SZT;TP;6,00;1,50;0,00;0,00;0,00;337,98
MOCOWANIE MSV 800/800;Mocowanie skraplacza spawane MSV 800/800 (kpl 2szt.);140,89;117,41;Stan towaru powyżej ilości minimalnej;1,00;SZT;TP;1,00;0,00;0,00;0,00;0,00;140,89
MOCOWANIE SKRAPLACZA MS230;Mocowanie skraplacza MS 230, z poprzeczką 800mm, ramkię 420mm, udźwig 140kg;57,05;39,38;Stan towaru powyżej ilości minimalnej;10,00;SZT;TP;10,00;3,00;0,00;0,00;0,00;570,50
MOCOWANIE SKRAPLACZA MS253;Mocowanie skraplacza MS 253, z poprzeczką 800mm, ramkię 465mm;61,93;51,61;Stan towaru powyżej ilości minimalnej;8,00;SZT;TP;8,00;1,50;0,00;0,00;0,00;495,44
MOCOWANIE SKRAPLACZA MS257;Mocowanie skraplacza MS 257;69,99;59,02;Stan towaru powyżej ilości minimalnej;7,00;SZT;TP;7,00;2,00;0,00;0,00;0,00;489,93
MOCOWANIE SKRAPLACZA MS258;Mocowanie skraplacza MS 258, z poprzeczką 800mm, ramkię 650mm, udźwig 140kg;123,60;103,00;Stan towaru powyżej ilości minimalnej;3,00;SZT;TP;3,00;2,50;0,00;0,00;0,00;370,80
MOCOWANIE SKRAPLACZA MS630;Mocowanie skraplacza MS 630, z poprzeczką 800mm, ramkię 450mm;50,60;44,00;Stan towaru powyżej ilości minimalnej;4,00;SZT;TP;4,00;0,00;0,00;0,00;0,00;202,40
MOCOWANIE SKRAPLACZA MSH-450;Mocowanie skraplacza MSH-450mm;44,85;39,00;Stan towaru powyżej ilości minimalnej;1,00;SZT;TP;1,00;0,00;0,00;0,00;0,00;44,85
MOCOWANIE SKRAPLACZA MSH-550;Mocowanie skraplacza MSH-550mm;49,45;43,00;Stan towaru powyżej ilości minimalnej;1,00;SZT;TP;1,00;0,00;0,00;0,00;0,00;49,45
MODUŁ WIFI AIRO+;Moduł WIFI AIRO+;93,78;85,25;Stan towaru powyżej ilości minimalnej;1,00;SZT;TP;1,00;0,00;0,00;0,00;0,00;93,78
MORO 160;MORO 160;23,81;19,84;Stan towaru powyżej ilości minimalnej;6,00;Szt.;TP;6,00;0,00;0,00;0,00;6,00;142,86
NAKRĘTKA  C M10;Nakrętka ślizgowa typ C M10 Interfix (30mm);0,79;0,66;Stan towaru powyżej ilości minimalnej;2 086,00;SZT;TP;2 086,00;0,00;0,00;0,00;0,00;1 647,94
NAKRĘTKA  C M8;Nakrętka ślizgowa typ C M8 Interfix (30mm);0,79;0,66;Stan towaru powyżej ilości minimalnej;953,00;SZT;TP;953,00;491,00;0,00;0,00;1 000,00;752,87
NAKRĘTKA M12 WALRAVEN;Nakrętka M12 Walraven;0,20;0,19;Stan towaru powyżej ilości minimalnej;672,00;SZT;TP;672,00;0,00;0,00;0,00;0,00;134,40
NAKRĘTKA M8 Z WKŁADKĄ;Nakrętka m8 z wkładką poliamidową;0,05;0,04;Stan towaru powyżej ilości minimalnej;3 600,00;SZT;TP;3 600,00;0,00;0,00;0,00;0,00;180,00
NAKRĘTKA S M10;Nakrętka ślizgowa S M10 Interfix (41mm);0,90;0,72;Stan towaru powyżej ilości minimalnej;798,00;SZT;TP;798,00;660,00;0,00;0,00;1 144,00;718,20
NAKRĘTKA S M8;Nakrętka ślizgowa S M8 Interfix (41mm);0,61;0,51;Stan towaru powyżej ilości minimalnej;562,00;SZT;TP;562,00;280,00;0,00;0,00;149,00;342,82
NAKRĘTKA SZ. DIN934 M10 WALRAVEN;Nakrętka sz. DIN934 BUP M10 Walraven;0,42;0,38;Stan towaru powyżej ilości minimalnej;300,00;SZT;TP;300,00;0,00;0,00;0,00;0,00;126,00
NAKRĘTKA ŚLIZGOWA BUP M10 WALRAVEN;Nakrętka ślizgowa BUP M10 Walraven;1,42;1,09;Stan towaru powyżej ilości minimalnej;80,00;SZT;TP;80,00;0,00;0,00;0,00;200,00;113,60
NAKRĘTKA ZŁĄCZNA M8;Nakrętka złączna M8;0,31;0,22;Stan towaru powyżej ilości minimalnej;1 086,00;SZT;TP;1 086,00;280,00;0,00;0,00;300,00;336,66
NAKRĘTKAM10;Nakrętka M10 ocynk;7,74;5,50;Stan towaru poniżej ilości minimalnej;17,60;kg;TP;17,60;24,55;0,00;0,00;120,00;136,25
NAKRĘTKAM12;Nakrętka M12 ocynk;10,07;5,50;Stan towaru powyżej ilości minimalnej;9,38;kg;TP;9,38;0,00;0,00;0,00;0,00;94,46
NAKRĘTKAM6;Nakrętka M6 ocynk;10,20;0,01;Stan towaru powyżej ilości minimalnej;35,30;kg;TP;35,30;0,00;0,00;0,00;7,00;360,06
NAKRĘTKAM8;Nakrętka M8 ocynk;7,80;5,50;Stan towaru powyżej ilości minimalnej;58,19;kg;TP;58,19;48,85;0,00;0,00;300,00;453,87
NAKRĘTKAZŁĄCZNA M10;Nakrętka złączna M10;0,59;0,48;Stan towaru powyżej ilości minimalnej;363,00;SZT;TP;363,00;10,00;0,00;0,00;0,00;214,17
NAKRĘTKAZŁĄCZNA M12;Nakrętka złączna M12;0,97;0,81;Stan towaru powyżej ilości minimalnej;291,00;SZT;TP;291,00;0,00;0,00;0,00;0,00;282,27
NAKRĘTKAZŁĄCZNA M6;Nakrętka złączna M6;0,31;0,01;Stan towaru powyżej ilości minimalnej;313,00;SZT;TP;313,00;0,00;0,00;0,00;201,00;97,03
NAROŻNIK WEWNĘTRZNY PVC;Narożnik wewnętrzny do koryta PVC ODIC 80;7,36;6,40;Stan towaru powyżej ilości minimalnej;13,00;SZT;TP;13,00;0,00;0,00;0,00;20,00;95,68
NAROŻNIK ZEWNĘTRZNY PVC;Narożnik zewnętrzny do koryta PVC ODCO 80;7,36;6,40;Stan towaru powyżej ilości minimalnej;11,00;SZT;TP;11,00;0,00;0,00;0,00;0,00;80,96
NAROŻNIK-K20;Narożnik do ramek kanałów prostokątnych K20;0,65;0,27;Stan towaru powyżej ilości minimalnej;524,00;SZT;TP;524,00;8,00;0,00;0,00;0,00;340,60
NAROŻNIK-K30;Narożnik do ramek kanałów prostokątnych K30;0,90;0,75;Stan towaru poniżej ilości minimalnej;204,00;SZT;TP;204,00;540,00;0,00;0,00;1 077,00;183,60
NASADKA M8;Nasadka M8 ;4,79;3,99;Stan towaru poniżej ilości minimalnej;3,00;SZT;TP;3,00;11,00;0,00;0,00;18,00;14,37
NAWIEWNIK NSAL-1-800-AL9010;Nawiewnik NSAL-1-800-AL9010;160,00;135,97;Stan towaru powyżej ilości minimalnej;5,00;SZT;TP;5,00;0,00;0,00;0,00;0,00;800,00
NAWIEWNIK NSAL-N-2-500 AL9003;Nawiewnik NSAL-N-2-500 AL9003-AL9003;202,36;172,96;Stan towaru powyżej ilości minimalnej;2,00;SZT;TP;2,00;0,00;0,00;0,00;0,00;404,72
NIBCO CZYŚCIWO 120ML;NIBCO Czyściwo 120ml;16,19;14,08;Stan towaru powyżej ilości minimalnej;4,00;opk;TP;4,00;0,00;0,00;0,00;0,00;64,76
NIBCO CZYŚCIWO 237ML;NIBCO Czyściwo 237ml;32,90;27,42;Stan towaru powyżej ilości minimalnej;2,00;opk;TP;2,00;0,00;0,00;0,00;0,00;65,80
NIBCO KLEJ 120ML;NIBCO Klej 120ml;19,07;16,68;Stan towaru powyżej ilości minimalnej;4,00;SZT;TP;4,00;0,50;0,00;0,00;5,00;76,28
"NIBCO KOLANO 1"" 45°";"NIBCO Kolano 1"" 45 st";4,99;4,37;Stan towaru powyżej ilości minimalnej;24,00;SZT;TP;24,00;0,00;0,00;0,00;0,00;119,76
"NIBCO KOLANO 1""90ST";"NIBCO  Kolano 1"" 90st";5,05;3,37;Stan towaru powyżej ilości minimalnej;16,00;SZT;TP;16,00;0,00;0,00;0,00;15,00;80,80
"NIBCO KOLANO 1/2"" 45ST";"NIBCO Kolano 1/2"" 45st";3,34;2,90;Stan towaru powyżej ilości minimalnej;119,00;SZT;TP;119,00;0,00;0,00;0,00;27,00;397,46
"NIBCO KOLANO 1/2"" 90ST";"NIBCO Kolano 1/2"" 90st";1,84;1,60;Stan towaru powyżej ilości minimalnej;150,00;SZT;TP;150,00;0,00;0,00;0,00;86,00;276,00
"NIBCO KOLANO 3/4"" 45ST";"NIBCO Kolano 3/4"" 45st";4,29;3,73;Stan towaru powyżej ilości minimalnej;56,00;SZT;TP;56,00;5,00;0,00;0,00;0,00;240,24
"NIBCO KOLANO 3/4"" 90ST";"NIBCO Kolano 3/4"" 90st";1,90;1,65;Stan towaru powyżej ilości minimalnej;216,00;SZT;TP;216,00;13,50;0,00;0,00;0,00;410,40
"NIBCO MUFA 1""";"NIBCO Mufa 1""";3,34;2,90;Stan towaru powyżej ilości minimalnej;38,00;SZT;TP;38,00;0,00;0,00;0,00;20,00;126,92
"NIBCO MUFA 1/2""";"NIBCO Mufa 1/2""";1,27;1,10;Stan towaru powyżej ilości minimalnej;43,00;SZT;TP;43,00;5,00;0,00;0,00;0,00;54,61
"NIBCO MUFA 3/4""";"NIBCO Mufa 3/4""";1,83;1,59;Stan towaru powyżej ilości minimalnej;58,00;SZT;TP;58,00;10,00;0,00;0,00;30,00;106,14
"NIBCO RED. 1/2'""/ 1""";"NIBCO Redukcja 1/2""- 1""";3,78;3,29;Stan towaru powyżej ilości minimalnej;9,00;SZT;TP;9,00;0,00;0,00;0,00;0,00;34,02
"NIBCO RED. 3/4"" / 1/2""";"NIBCO Red. 3/4"" / 1/2""";1,90;1,65;Stan towaru powyżej ilości minimalnej;47,00;SZT;TP;47,00;0,00;0,00;0,00;20,00;89,30
"NIBCO RED. 3/4'""/ 1""";"NIBCO Redukcja 3/4""- 1""";3,78;3,29;Stan towaru powyżej ilości minimalnej;42,00;SZT;TP;42,00;0,00;0,00;0,00;20,00;158,76
NIBCO RURA 1'';"NIBCO Rura 1"" 3mb";23,52;19,60;Stan towaru powyżej ilości minimalnej;19,00;SZT;TP;19,00;1,00;0,00;0,00;0,00;446,88
"NIBCO RURA 1/2"" ";"NIBCO Rura 1/2"" 3mb";12,18;10,59;Stan towaru powyżej ilości minimalnej;33,00;SZT;TP;33,00;4,00;0,00;0,00;0,00;401,94
"NIBCO RURA 3/4"" ";"NIBCO Rura 3/4"" 3mb";16,11;14,01;Stan towaru powyżej ilości minimalnej;27,00;SZT;TP;27,00;10,50;0,00;0,00;7,00;434,97
"NIBCO TRÓJNIK 1""";"NIBCO Trójnik 1""";5,06;4,40;Stan towaru powyżej ilości minimalnej;22,00;SZT;TP;22,00;0,00;0,00;0,00;0,00;111,32
"NIBCO TRÓJNIK 1/2""";"NIBCO Trójnik 1/2""";2,60;1,61;Stan towaru powyżej ilości minimalnej;58,00;SZT;TP;58,00;0,00;0,00;0,00;0,00;150,80
"NIBCO TRÓJNIK 3/4""";"NIBCO Trójnik 3/4""";2,82;2,41;Stan towaru powyżej ilości minimalnej;37,00;SZT;TP;37,00;2,50;0,00;0,00;0,00;104,34
"NIBCO ZAŚLEPKA 1""";"NIBCO Zaślepka 1""";3,12;2,60;Stan towaru powyżej ilości minimalnej;10,00;SZT;TP;10,00;0,00;0,00;0,00;0,00;31,20
"NIBCO ZAŚLEPKA 1/2""";"NIBCO Zaślepka 1/2""";1,55;1,29;Stan towaru powyżej ilości minimalnej;17,00;SZT;TP;17,00;0,00;0,00;0,00;0,00;26,35
"NIBCO ZAŚLEPKA 3/4""";"NIBCO Zaślepka 3/4""";1,75;1,46;Stan towaru powyżej ilości minimalnej;18,00;SZT;TP;18,00;0,00;0,00;0,00;0,00;31,50
NICZUK PODPORA Z IZOL. 300X300;Podpora dachowa uniwersalna z izolacją do profili MG, MF, MH 300x300 OC,OG Niczuk;125,26;108,92;Stan towaru powyżej ilości minimalnej;3,00;SZT;TP;3,00;0,00;0,00;0,00;0,00;375,78
NICZUKNAKRETKASKOŚM10;Nakrętka skośna M10 do profili A, C Niczuk;0,58;0,53;Stan towaru powyżej ilości minimalnej;47,00;SZT;TP;47,00;0,00;0,00;0,00;0,00;27,26
NICZUKNAKRETKAZABK.M8;Nakrętka ząbkowana M8 do profili MG, MF, MH Niczuk;1,12;1,02;Stan towaru powyżej ilości minimalnej;50,00;SZT;TP;50,00;0,00;0,00;0,00;0,00;56,00
NICZUKOBEJUWG100GUMA;Obejma wentylacyjna z wkładką EPDM UWG-100BK Niczuk;5,06;4,60;Stan towaru powyżej ilości minimalnej;22,00;SZT;TP;22,00;0,00;0,00;0,00;0,00;111,32
NICZUKOBEJUWG125GUMA;Obejma wentylacyjna z wkładką EPDM UWG-125BK Niczuk;5,85;5,32;Stan towaru powyżej ilości minimalnej;1,00;SZT;TP;1,00;0,00;0,00;0,00;0,00;5,85
NICZUKOBEJUWG200GUMA;Obejma wentylacyjna z wkładką EPDM UWG-200BK Niczuk;8,95;8,14;Stan towaru powyżej ilości minimalnej;17,00;SZT;TP;17,00;0,00;0,00;0,00;55,00;152,15
NICZUKOBEJUWG250GUMA;Obejma wentylacyjna z wkładką EPDM UWG-250BK Niczuk;12,05;10,95;Stan towaru powyżej ilości minimalnej;8,00;SZT;TP;8,00;0,00;0,00;0,00;5,00;96,40
NICZUKOBEJUWG400GUMA;Obejma wentylacyjna z wkładką EPDM UWG-400BK Niczuk;8,02;0,01;Stan towaru powyżej ilości minimalnej;74,00;SZT;TP;74,00;0,00;0,00;0,00;0,00;593,48
NICZUKOBEJUWG630GUMA;Obejma wentylacyjna z wkładką EPDM UWG-630BK Niczuk;13,88;12,62;Stan towaru powyżej ilości minimalnej;45,00;SZT;TP;45,00;0,00;0,00;0,00;0,00;624,60
NICZUKOBEJUWX100GUMA;Obejma wentylacyjna z wkładką EPDM UWX-100BK Niczuk (niebieska);3,05;0,01;Stan towaru powyżej ilości minimalnej;39,00;SZT;TP;39,00;0,00;0,00;0,00;0,00;118,95
NICZUKOBEJUWX125GUMA;Obejma wentylacyjna z wkładką EPDM UWX-125BK Niczuk (niebieska);3,54;3,22;Stan towaru powyżej ilości minimalnej;3,00;SZT;TP;3,00;0,00;0,00;0,00;0,00;10,62
NICZUKOBEJUWX200GUMA;Obejma wentylacyjna z wkładką EPDM UWX-200BK Niczuk  (niebieska);4,95;4,50;Stan towaru powyżej ilości minimalnej;19,00;SZT;TP;19,00;0,00;0,00;0,00;2,00;94,05
NICZUKOBEJUWX225GUMA;Obejma wentylacyjna z wkładką EPDM UWX-225BK Niczuk  (niebieska);8,43;7,66;Stan towaru poniżej ilości minimalnej;6,00;SZT;TP;6,00;10,00;0,00;0,00;0,00;50,58
NICZUKOBEJUWX250GUMA;Obejma wentylacyjna z wkładką EPDM UWX-250BK Niczuk (niebieska);6,42;5,84;Stan towaru powyżej ilości minimalnej;36,00;SZT;TP;36,00;0,00;0,00;0,00;0,00;231,12
NICZUKTRÓJKĄTMB,ME;Trójkąt montażowy do profili MB, ME Ocynk Niczuk;53,58;48,71;Stan towaru powyżej ilości minimalnej;16,00;SZT;TP;16,00;0,00;0,00;0,00;0,00;857,28
NICZUKWSPORNIKDUZY;Wspornik montażowy 90st do profili MG,MF, MH Niczuk;5,79;5,26;Stan towaru powyżej ilości minimalnej;42,00;SZT;TP;42,00;0,00;0,00;0,00;0,00;243,18
NICZUKWSPORNIKMALY;Wspornik montażowy 90st do profili A, C Niczuk;2,94;2,67;Stan towaru powyżej ilości minimalnej;55,00;SZT;TP;55,00;0,00;0,00;0,00;0,00;161,70
NITOWNICA RĘCZNA;BESSTO Nitownica ręczna, PROFESIONAL;64,06;53,30;Stan towaru powyżej ilości minimalnej;2,00;SZT;TP;2,00;0,00;0,00;0,00;0,00;128,12
NITZRYWALNY 4/6;Nit zrywalny 4/6;22,68;17,90;Stan towaru powyżej ilości minimalnej;1,00;kg;TP;1,00;0,00;0,00;0,00;0,00;22,68
NITZRYWALNY3/6;Nit zrywalny 3/6;19,09;15,91;Stan towaru powyżej ilości minimalnej;4,74;kg;TP;4,74;0,00;0,00;0,00;1,00;90,49
NITZRYWALNY4/12;Nit zrywalny 4/12;23,88;0,01;Stan towaru powyżej ilości minimalnej;2,00;kg;TP;2,00;0,00;0,00;0,00;10,20;47,76
NITZRYWALNY4/16;Nit zrywalny 4/16;23,88;19,90;Stan towaru powyżej ilości minimalnej;5,90;kg;TP;5,90;0,00;0,00;0,00;0,00;140,89
NM 100-Z (P);Nypel fi 100 mm (P);2,14;0,02;Stan towaru poniżej ilości minimalnej;18,00;SZT;TZ;18,00;500,00;0,00;0,00;10,00;38,52
NM 125-U;Nypel fi 125 mm z uszczelką;3,96;3,30;Stan towaru powyżej ilości minimalnej;14,00;SZT;TP;14,00;0,00;0,00;0,00;0,00;55,44
NM 125-Z (P);Nypel fi 125 mm (P);2,36;0,02;Stan towaru poniżej ilości minimalnej;30,00;SZT;TZ;30,00;500,00;0,00;0,00;10,00;70,80
NM 160-U;Nypel fi 160 mm z uszczelką;4,62;3,85;Stan towaru powyżej ilości minimalnej;19,00;SZT;TP;19,00;0,00;0,00;0,00;0,00;87,78
NM 160-Z (P);Nypel fi 160mm (P);3,80;0,03;Stan towaru poniżej ilości minimalnej;92,00;SZT;TZ;92,00;300,00;0,00;0,00;27,00;349,60
NM 200-U;Nypel fi 200 mm z uszczelką;5,22;4,35;Stan towaru powyżej ilości minimalnej;64,00;SZT;TZ;64,00;0,00;0,00;0,00;0,00;334,08
NM 200-Z (P);Nypel fi 200 mm (P);5,05;0,04;Stan towaru poniżej ilości minimalnej;8,00;SZT;TZ;8,00;800,00;0,00;0,00;12,00;40,40
NM 225-Z (P);Nypel fi 225 mm (P);8,14;0,04;Stan towaru powyżej ilości minimalnej;33,00;SZT;TZ;33,00;0,00;0,00;0,00;0,00;268,62
NM 250-U;Nypel fi 250 mm z uszczelką;7,20;6,00;Stan towaru powyżej ilości minimalnej;43,00;SZT;TP;43,00;0,00;0,00;0,00;0,00;309,60
NM 250-Z (P);Nypel fi 250 mm (P);5,14;0,05;Stan towaru powyżej ilości minimalnej;14,00;SZT;TZ;14,00;0,00;0,00;0,00;0,00;71,96
