Kod;Nazwa;Cena;C. zakupu-PLN;Stan zasobów;Ilość;Jm;Typ;Ilość dostępna;Ilość minimalna;Rezerwacje;Braki;Zamówienia;Wartość-PLN
AO-200 (CN);Anemostat okrągły AO-200;23,38;0,01;Stan towaru powyżej ilości minimalnej;30,00;SZT;TP;30,00;2,50;0,00;0,00;0,00;701,40
AO-250 (CN);Anemostat okrągły AO-250;25,46;0,01;Stan towaru powyżej ilości minimalnej;74,00;SZT;TP;74,00;0,00;0,00;0,00;0,00;1 884,04
AO-300 (CN);Anemostat okrągły AO-300;33,66;0,01;Stan towaru powyżej ilości minimalnej;97,00;SZT;TP;97,00;0,00;0,00;0,00;0,00;3 265,02
ARIL 100 ECO;Wentylator kanałowy aRil 100 ECO;98,40;82,00;Stan towaru powyżej ilości minimalnej;25,00;SZT;TP;25,00;2,50;0,00;0,00;0,00;2 460,00
ARIL 125 ECO;Wentylator kanałowy aRil 125 ECO;109,46;91,22;Stan towaru powyżej ilości minimalnej;35,00;SZT;TP;35,00;2,50;0,00;0,00;0,00;3 831,10
ARIL 160 ECO;Wentylator kanałowy aRil 160 ECO;144,86;120,72;Stan towaru powyżej ilości minimalnej;16,00;SZT;TP;16,00;2,50;0,00;0,00;0,00;2 317,76
ARIL 200 ECO;Wentylator kanałowy aRil 200 ECO;157,42;131,18;Stan towaru powyżej ilości minimalnej;24,00;SZT;TP;24,00;2,50;0,00;0,00;0,00;3 778,08
ARVEX 12X60;Koszulka kołka 12x60 Arvex;0,41;0,34;Stan towaru powyżej ilości minimalnej;320,00;SZT;TP;320,00;0,00;0,00;0,00;1 200,00;131,20
AUTOMATYKA1700/1700;Nawiewnik z filtrem absolutnym HEPA HFD-3/8-H13-HR-S-S2-S;10 427,63;981,22;Usługa;0,00;SZT;UP;0,00;0,00;0,00;0,00;0,00;0,00
BIG FOOT 330X330;Podpora dachowa BIG FOOT 330x330;145,00;132,00;Stan towaru powyżej ilości minimalnej;7,00;SZT;TP;7,00;0,00;0,00;0,00;8,00;1 015,00
BIT KWADRAT L-50;Bit imbus kwadrat L-50;3,88;3,23;Stan towaru powyżej ilości minimalnej;35,00;SZT;TP;35,00;0,00;0,00;0,00;50,00;135,80
BIT PH2 WURTH;Bit PH2 Wurth  ;3,52;3,06;Stan towaru powyżej ilości minimalnej;10,00;SZT;TP;10,00;0,00;0,00;0,00;0,00;35,20
BIT PZ2 WURTH;Bit PZ2 Wurth;3,52;3,06;Stan towaru powyżej ilości minimalnej;6,00;SZT;TP;6,00;0,00;0,00;0,00;0,00;21,12
BITPH2FISCHER;BESSTO Bit PH2 Fischer (10szt) - krzyżowy;27,95;23,64;Stan towaru powyżej ilości minimalnej;9,00;SZT;TP;9,00;0,00;0,00;0,00;0,00;251,55
BOLCOWA 10X95/15 WALRAVEN;WTB1 Kotwa bolcowa 10x95/15 Walraven;2,44;2,28;Stan towaru powyżej ilości minimalnej;9,00;SZT;TP;9,00;0,00;0,00;0,00;0,00;21,96
BOLEC DO JONIZATORA AIRDOG;BOLEC DO JONIZATORA AIRDOG;0,00;0,00;Usługa;0,00;SZT;UP;0,00;0,00;0,00;0,00;0,00;0,00
BP-100/45;Kolano tłoczone BP-100/45;7,04;5,40;Stan towaru powyżej ilości minimalnej;36,00;SZT;TP;36,00;0,00;0,00;0,00;0,00;253,44
BP-100/45U;Kolano tłoczone BP-100/45 z uszczelką;8,10;6,48;Stan towaru powyżej ilości minimalnej;12,00;SZT;TP;12,00;0,00;0,00;0,00;0,00;97,20
BP-100/90;Kolano tłoczone BP-100/90;7,38;6,15;Stan towaru powyżej ilości minimalnej;77,00;SZT;TP;77,00;75,50;0,00;0,00;20,00;568,26
BP-100/90U;Kolano tłoczone BP-100/90 z uszczelką;9,38;7,50;Stan towaru powyżej ilości minimalnej;14,00;SZT;TP;14,00;0,00;0,00;0,00;0,00;131,32
BP-100/90X;Kolano tłoczone BP-100/90 nierdzewne;52,76;43,97;Stan towaru powyżej ilości minimalnej;8,00;SZT;TP;8,00;2,00;0,00;0,00;0,00;422,08
BP-125/15;Kolano tłoczone BP-125/15;16,92;11,75;Stan towaru powyżej ilości minimalnej;13,00;SZT;TP;13,00;0,00;0,00;0,00;0,00;219,96
BP-125/45;Kolano tłoczone BP-125/45;8,64;6,04;Stan towaru powyżej ilości minimalnej;90,00;SZT;TP;90,00;37,50;0,00;0,00;60,00;777,60
BP-125/45 U;Kolano tłoczone BP-125/45 z uszczelką ;9,16;7,33;Stan towaru powyżej ilości minimalnej;16,00;SZT;TP;16,00;0,00;0,00;0,00;0,00;146,56
BP-125/90;Kolano tłoczone BP-125/90 ;9,99;7,82;Stan towaru powyżej ilości minimalnej;181,00;SZT;TP;181,00;162,50;0,00;0,00;273,00;1 808,19
BP-125/90U;Kolano tłoczone BP-125/90 z uszczelką;11,81;9,45;Stan towaru powyżej ilości minimalnej;24,00;SZT;TP;24,00;3,00;0,00;0,00;0,00;283,44
BP-160/45;Kolano tłoczone BP-160/45;10,14;8,10;Stan towaru powyżej ilości minimalnej;78,00;SZT;TP;78,00;15,00;0,00;0,00;110,00;790,92
BP-160/45U;Kolano tłoczone BP-160/45  z uszczelką;11,60;9,28;Stan towaru powyżej ilości minimalnej;24,00;SZT;TP;24,00;5,00;0,00;0,00;0,00;278,40
BP-160/90;Kolano tłoczone BP-160/90;13,50;11,22;Stan towaru poniżej ilości minimalnej;119,00;SZT;TP;119,00;159,50;0,00;0,00;280,00;1 606,50
BP-160/90U;Kolano tłoczone BP-160/90 z uszczelką;16,69;13,35;Stan towaru powyżej ilości minimalnej;16,00;SZT;TP;16,00;9,00;0,00;0,00;0,00;267,04
BP-200/45;Kolano tłoczone BP-200/45;16,08;10,88;Stan towaru powyżej ilości minimalnej;79,00;SZT;TP;79,00;37,50;0,00;0,00;154,00;1 270,32
BP-200/45 U;Kolano tłoczone BP-200/45 z uszczelką;15,25;12,20;Stan towaru powyżej ilości minimalnej;22,00;SZT;TP;22,00;0,00;0,00;0,00;0,00;335,50
BP-200/90;Kolano tłoczone BP-200/90;22,26;17,12;Stan towaru poniżej ilości minimalnej;60,00;SZT;TP;60,00;113,00;0,00;0,00;306,00;1 335,60
BP-200/90 U;Kolano tłoczone BP-200/90 z uszczelką;23,88;18,45;Stan towaru powyżej ilości minimalnej;20,00;SZT;TZ;20,00;5,00;0,00;0,00;0,00;477,60
BP-80/45;Kolano tłoczone BP-80/45;9,48;7,90;Stan towaru powyżej ilości minimalnej;90,00;SZT;TP;90,00;0,00;0,00;0,00;20,00;853,20
BP-80/90;Kolano tłoczone BP-80/90;11,81;9,84;Stan towaru powyżej ilości minimalnej;127,00;SZT;TP;127,00;1,50;0,00;0,00;60,00;1 499,87
BRZESZCZOT WURTH 66/0,7;Brzeszczot do wyrzynarek 66/0,7 Wurth (5szt) do metalu;18,80;16,35;Stan towaru powyżej ilości minimalnej;2,00;SZT;TP;2,00;0,00;0,00;0,00;0,00;37,60
BRZESZCZOT WURTH 69/4;Brzeszczot do wyrzynarek 69/4 Wurth (5szt) do drewna;47,73;41,50;Stan towaru powyżej ilości minimalnej;1,00;SZT;TP;1,00;0,00;0,00;0,00;0,00;47,73
BS- 280/90;Kolano segmentowe BS-280/90;20,40;17,00;Stan towaru powyżej ilości minimalnej;8,00;SZT;TP;8,00;0,00;0,00;0,00;3,00;163,20
BS-160/45X;Kolano segmentowe BS-160/45X nierdzewne;57,60;48,00;Stan towaru powyżej ilości minimalnej;2,00;SZT;TP;2,00;0,00;0,00;0,00;0,00;115,20
BS-180/45;Kolano segmentowe BS-180/45;17,39;14,49;Stan towaru powyżej ilości minimalnej;2,00;SZT;TP;2,00;0,00;0,00;0,00;0,00;34,78
